Code,GMPE,Year,TectonicRegion,RequiresDistances,RequiresRupture,RequiresSites,DefinedForIMTs,DefinedForStdDevs,Shortcut,Description
AbrahamsonEtAl2014,AbrahamsonEtAl2014,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014,"Implements GMPE by Abrahamson, Silva and Kamai developed within the the PEER West 2 Project. This GMPE is described in a paper published in 2014 on Earthquake Spectra, Volume 30, Number 3 and titled 'Summary of the ASK14 Ground Motion Relation for Active Crustal Regions'."
AbrahamsonEtAl2014NSHMPLower,AbrahamsonEtAl2014NSHMPLower,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014NSHMPLower,
AbrahamsonEtAl2014NSHMPMean,AbrahamsonEtAl2014NSHMPMean,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014NSHMPMean,
AbrahamsonEtAl2014NSHMPUpper,AbrahamsonEtAl2014NSHMPUpper,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014NSHMPUpper,
AbrahamsonEtAl2014RegCHN,AbrahamsonEtAl2014RegCHN,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014RegCHN,
AbrahamsonEtAl2014RegJPN,AbrahamsonEtAl2014RegJPN,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014RegJPN,
AbrahamsonEtAl2014RegTWN,AbrahamsonEtAl2014RegTWN,2014,Active Shallow Crust,rjb rrup rx ry0,dip mag rake width ztor,vs30 vs30measured z1pt0,PGA PGV SA,Inter event Intra event Total,Ab2014RegTWN,
AbrahamsonEtAl2015SInter,AbrahamsonEtAl2015SInter,2015,Subduction Interface,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SInter,"Implements the Subduction GMPE developed by Norman Abrahamson, Nicholas Gregor and Kofi Addo, otherwise known as the ""BC Hydro"" Model, published as ""BC Hydro Ground Motion Prediction Equations For Subduction Earthquakes (2015, Earthquake Spectra, in press), for subduction interface events."
AbrahamsonEtAl2015SInterHigh,AbrahamsonEtAl2015SInterHigh,2015,Subduction Interface,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SInterHigh,"Defines the Abrahamson et al. (2013) scaling relation  assuming the upper values of the magnitude scaling for large slab earthquakes, as defined in table 4"
AbrahamsonEtAl2015SInterLow,AbrahamsonEtAl2015SInterLow,2015,Subduction Interface,rrup,mag,backarc vs30,PGA SA,Inter event Intra event Total,Ab2015SInterLow,"Defines the Abrahamson et al. (2013) scaling relation  assuming the lower values of the magnitude scaling for large slab earthquakes, as defined in table 4"
